# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_ENX	s_ENX	d_P	s_P	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_P	r_CG	r12	r32	T	V_H	V_BW	Con	X2
10	1e-07	5.450165078368936	317.220214692493	21.224850353287252	3.5763602586846552	4.355557172837502	3.185048496353	2.566736968066384	1.0084485804280143	2.0070699858559897	30.634009762110008	0.03541786386896282	2.60957729261162	9.484371977489667	2.8	2.8782899325816516	0.14977116170254007	0.562684275280736	0.7995408804373977	2.075396178910249	50.0	250.22451792338543	30.217288062272658	0.0017994324800223276	19.229909324525753
11	1e-07	6.247481281334463	296.9011922692555	8.28654758177547	3.7298154674180415	1.8611063676920336	3.162619857927305	2.64522374285781	0.8658072637169419	2.119536197535326	29.996875991648867	0.03544059992425589	2.518904101944361	9.434701452525868	2.8	2.9169624251035082	0.1457371868083393	0.6026262770530774	0.871911508318416	2.0491850870088584	50.0	252.4023482313128	30.167673539859607	0.0019687223507602446	21.208508416292922
12	1e-07	5.323914509886742	335.97703717457085	29.219827159271773	3.3850418081223754	3.184133495775354	3.198379547824811	2.77160516149964	0.8769139208417663	2.814722719251949	30.132891521544487	0.031207330897055498	2.801012067539524	9.783149266434068	2.8	2.9393256877181533	0.14017690101291955	0.575719382942584	0.822638820107418	1.8754807299490859	50.0	244.16521670468742	30.27281340376317	0.0017899340209996094	17.592540947258172
13	1e-07	4.302992467308459	339.5258123286995	28.716578891596203	3.309976167701628	2.1010129981518677	3.1562313661037513	2.6540512677414116	0.9636837418377691	1.9359735197583952	30.413836513811116	0.03598131436017831	2.7869999523587143	9.330554991181108	2.8	2.8280200635608495	0.15837283638594743	0.5723701997003758	0.8041640672103876	2.0640881865556686	50.0	232.17971373139773	30.203034411881987	0.0018410567863540396	20.175567373026603
14	1e-07	5.871784284217983	313.55465894860754	21.45532611083095	3.715440370592104	3.3462782019143478	3.091481494978622	2.7390988955971642	0.9580017627631848	2.6563900782423113	30.038428919685128	0.03444483287609281	2.6736021469024474	9.585812626335017	2.8	2.7590893991848975	0.13684654744461072	0.5828752010073834	0.768977653432368	1.8699350510097619	50.0	241.6593172030035	30.27143793485856	0.0018278653799559071	19.018216904746623
15	1e-07	5.967560299102029	316.1157659239743	17.737612645379432	3.337670254465606	2.2465228176850203	2.9169978489538644	3.192656793634157	0.9312255155144937	2.352302532004331	31.518141326773073	0.032996867255660575	2.5273215925146313	9.565823834671173	2.8	2.8127552196578955	0.1499377556373302	0.5225720809922881	0.7573219722265951	1.8892717691741068	50.0	256.0640997685536	30.320026886520743	0.0018005951229399843	18.549879314818572
16	1e-07	4.677833111418314	332.9608105386897	25.46961055796213	3.4845759091268653	3.067116846488276	2.9927704494761667	3.0183405703940513	1.0059997068670223	2.3128670306917023	30.7709634219092	0.0325361858845897	2.5835463861974923	8.93875989241088	2.8	2.735494056516249	0.158664993509556	0.5341030930945188	0.8498429054809149	1.9761370182543623	50.0	233.55687026392462	30.280975613292462	0.001817764809408786	17.334147103157292
17	1e-07	4.255254197223375	346.4276438458723	22.773035671083257	3.3063839954906635	2.773027945730925	2.8328661662811236	2.997414030969995	0.8902943244211735	1.949805754711441	31.420020199421675	0.030890076387435326	2.814102920065941	9.573875779001183	2.8	2.809701192260269	0.13450909322053475	0.556566880211368	0.7578153371657687	2.002626724659974	50.0	239.893284197004	30.329866344292313	0.0016757807393100376	19.794329619326128
18	1e-07	5.069157144796963	323.2440212352803	31.046549586467293	3.456153193305915	3.828301122265305	3.1202751162869724	2.6201672943914724	0.9136677993391681	1.9111418665507178	30.83952160571167	0.03181276657055856	2.632577946203388	9.330674045745177	2.8	2.8594790703959587	0.15283130931550212	0.5618051550817179	0.742601627482719	2.041066527117653	50.0	243.48783696551536	30.20757493054453	0.00168798480225657	18.38729181527414
19	1e-07	5.074631808628068	331.2030831735803	20.35735849196938	3.619385620919764	3.504359695096664	3.5882009589621555	2.6293109280367397	1.0036680386910937	2.4766401781517926	30.474268858273096	0.03588185812309759	2.510901233195288	9.537231123978783	2.8	2.9933651622959796	0.16244744157516253	0.520082326681192	0.879030746676754	2.053151078417264	50.0	246.64175497746578	30.2998369774989	0.0017828988812296752	20.965476632197607
20	1e-07	4.460204079488046	337.5367822016186	25.40008517146484	3.3004591122600484	3.4137269493315197	2.9577142015247064	2.621156442870264	0.8202179656670542	1.8050422910053072	31.19837868305146	0.036924118532557754	2.703811357786392	9.617051235665631	2.8	2.7693741204232	0.14771861976887543	0.5699795180907274	0.8193178585679722	2.091092730623429	50.0	242.56644914374448	30.2118419341524	0.0017010293153132201	21.660490674999497
