# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
q	I_data	I_err	I_fit
0.0618077	7195.46	138.866	7117.94577833666
0.062333	6815.35	136.501	7104.060167034516
0.0628584	7292.46	138.942	7092.06769788912
0.0633837	7164.75	135.679	7081.8933023993595
0.0639091	6916.39	136.533	7073.456234380975
0.0644344	7249.16	135.527	7066.685503728289
0.0649598	6952.64	134.72	7061.506841704406
0.0654851	7145.7	134.569	7057.852960939933
0.0660105	7246.63	133.93	7055.655500022112
0.0665358	7286.83	134.68	7054.850545165985
0.0670612	7135.45	132.31	7055.375129979531
0.0675865	7387.13	133.064	7057.1684256687
0.0681119	7097.45	132.368	7060.172399603014
0.0686372	7295.03	131.367	7064.329054812768
0.0691626	7352.18	131.926	7069.584876327787
0.0696879	7391.02	130.17	7075.884476826749
0.0702133	7371.99	130.657	7083.178482931197
0.0707386	7450.69	130.022	7091.413921938697
0.071264	7358.08	129.232	7100.545221553842
0.0717893	7431.3	130.648	7110.521652471834
0.0723147	7717.21	128.608	7121.301134619959
0.07284	7499.87	129.788	7132.8350317730565
0.0733654	7505.27	126.902	7145.08447544092
0.0738907	7423.21	127.764	7158.002790530043
0.0744161	7608.62	127.338	7171.55406470235
0.0749414	7591.73	126.47	7185.693468204504
0.0754668	7494.27	127.16	7200.387811981163
0.0759921	7667.2	125.263	7215.5940100463495
0.0765175	7461.32	126.55	7231.281383983879
0.0770428	7730.4	125.455	7247.408502521271
0.0775682	7551.31	123.947	7263.947003401349
0.0780935	7552.08	126.042	7280.8570320366625
0.0786189	7848.52	123.113	7298.112364187366
0.0791442	7794.98	124.661	7315.674653633164
0.0796696	7569.53	122.568	7333.519650730964
0.0801949	7782.71	123.118	7351.610457860907
0.0807203	7722.79	123.638	7369.924649840993
0.0812456	7695.98	121.612	7388.426725412239
