# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	x_p	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
25	0.01	2.41460921866654	369.5687659174308	5.1	0.4664390029501304	2.7236572020730985	3.0910008028882445	3.842696339818973	1.7117033938364237	0.8356406334823132	2.2681373867468486	28.205329890008237	0.14675009471077302	2.4749099987601415	9.0	3.05	3.4867342719505143	0.29285908922801274	0.4471897518556146	0.81	2.048691489500529	37.0	319.35253895641137	28.674893180510473	175.87806817732786	3.8945867311080824
26	0.01	2.4161716949911254	382.7926564877836	5.1	0.45751470994986826	2.7409814419727843	2.996055975378672	4.115615748960231	1.5170942001420489	0.7936078933567156	2.6542178397806016	27.62886334949202	0.12985183151148383	2.5805490419709494	9.0	3.05	3.495706121078214	0.28905616240998505	0.45671852675896424	0.81	2.0672797265778393	37.0	324.8223917283534	28.758574364995198	177.25811034317007	3.7501428182981917
27	0.01	2.2376626637878663	397.88547216877845	5.1	0.44032144494171294	2.6884215270635226	3.062083542227998	3.824677589687112	2.257845797089365	0.746770390500396	2.4080306460959395	27.483843329946662	0.14594203226609503	2.4032426380939094	9.0	3.05	3.3337084984813603	0.30183573199566976	0.4564552901676457	0.81	2.1110198986855	37.0	324.2641847383838	28.341918330300594	188.52193639560494	3.58836953171439
28	0.01	2.0416698158225013	409.97204244948745	5.1	0.4621655163545722	2.71688785143732	3.015379173554623	4.301328163408323	2.907634209425072	0.883112759926215	2.4689429451387044	27.496877648019687	0.13314849068040502	2.4751317365976386	9.0	3.05	3.263635972327688	0.28495526247777586	0.442150606588076	0.81	2.099877857434968	37.0	319.5309468940775	28.499113468125035	188.80759298706803	3.2936585420050144
29	0.01	2.5146511103259557	376.57005888643175	5.1	0.43952059949765065	2.6138807487678535	3.001725934551152	4.195173532086065	2.0186592907743366	0.7223972092679526	2.3405624750348046	27.435090901611577	0.13733241818211764	2.4266326473236783	9.0	3.05	3.3925007867228834	0.2925375302898289	0.4589806761280896	0.81	2.0699945529972426	37.0	326.1795831708001	28.458050319139623	184.1323759092884	3.1298839769354267
30	0.01	2.062459778372781	398.8056519711585	5.1	0.4521236975620189	2.6894289895872414	2.9656911845387923	3.833811265156385	2.408466876802406	0.7552834997192212	1.7182986485832883	28.32722711823296	0.13788094579068194	2.4840792243221625	9.0	3.05	3.0717909169459707	0.28749110147081164	0.4463331687602152	0.81	2.0629340713002406	37.0	319.1228278824396	28.22366154116495	169.04212428504212	3.112727152623518
31	0.01	2.5043449136229525	367.32069889131645	5.1	0.441684147047775	2.776972581558197	3.0153983772845763	4.045704049859212	1.2873803357034534	0.7872257344978522	1.64834015610494	27.848981472555405	0.16208079030412204	2.4567860620082023	9.0	3.05	3.494360096443757	0.30089489534818886	0.4552347836863671	0.81	2.0472063122309385	37.0	325.5443667940694	28.3948995896236	175.2897791977932	3.527710230853662
32	0.01	2.1199508658138115	419.634121904567	5.1	0.4207469785303222	2.761241308089776	2.973994987867086	4.489812497301016	2.2248839913464735	0.7929024293218891	1.6578709727761667	26.908672067724346	0.15600796294533903	2.4365057657565288	9.0	3.05	3.5060753023085938	0.3006453241820817	0.44953311985968175	0.81	2.09838328071237	37.0	328.3421239550544	28.40758950492902	179.83431563575812	3.6957914594322574
33	0.01	2.8383647212300964	339.75289114652793	5.1	0.4645453983990994	2.6867482792960518	3.031622873068567	3.843074642719928	1.8585511806552761	0.8191351596324312	1.9257233617524419	27.97424442603579	0.15218131802424947	2.5109562097494598	9.0	3.05	3.805424970975957	0.29456535492201597	0.45474979448463204	0.81	2.0733280143824935	37.0	315.3248887021298	28.613595035477662	180.7467535107882	3.698258843862096
34	0.01	2.2971946126352503	385.638220178139	5.1	0.454361335512981	2.6683010315696487	2.9135562711277494	4.168973782245288	2.038346702907825	0.8116751494417513	2.8171176092107806	27.86179159743763	0.1461048937463054	2.599889631415318	9.0	3.05	3.1054922977798243	0.27970336815777486	0.4466337924128468	0.81	2.177900901173819	37.0	324.7626845035621	28.59475576512249	172.8245142484338	3.7100309363588084
