# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	s_CH3	r_PCN	r_CG	r32	T	V_H	V_BW	Con	X2
21	2e-07	1.1249277386462213	487.206846969776	7.855050244697484	1.0531189465928454	2.8770130615515117	3.533442301861247	2.7842555731955114	0.772596820454335	2.5130075531933405	24.852398470231893	0.03225712287963762	2.502422138191789	1.9354935250574874	0.2975450915360379	0.43569083362311195	2.0422032971483683	50.0	306.44092950535406	30.210435920499204	0.002229444029968536	23.76027994943398
22	2e-07	1.3990195690612732	483.88308119146353	9.917876648268116	0.9376946204058798	3.0940770101131307	4.6946851487368875	2.688071754458053	0.7733084560515583	2.3423697423374943	23.28710391868784	0.028292964689803853	2.4071463308534926	1.5478875558339633	0.2816470205268322	0.42963096071051066	1.851756758927221	50.0	312.39510873206626	30.245025630335913	0.0023656520340589807	21.659741933892338
23	2e-07	1.269887504368106	497.7879067625095	11.840668080184004	1.00873062034809	3.0298686492267577	4.13875586849558	2.7564030266484663	0.7149070852162542	2.2847099770794257	23.97644329118076	0.0301645810608917	2.3551069177067756	1.8979793690215485	0.294227213826826	0.44680882917806974	1.957993067380064	50.0	315.51364867552957	30.266405498735303	0.002280677180223386	19.07860789291474
24	2e-07	1.4279710228034168	477.68415140412907	8.867875051806045	1.035113065828441	3.028108960704918	4.187136768502806	2.726845366157786	0.7339240825911875	2.2849370645664937	24.21825456998513	0.030858258965560968	2.6793642919217104	1.7770010810059926	0.2981755347734021	0.4303434363391053	1.9287325860488236	50.0	322.29105519671964	30.420270448380396	0.002225850300426941	22.685980833337528
25	2e-07	1.3067422710300447	486.35401188718726	10.142480101757599	1.0310385704248908	2.8856895166324477	4.185712283976752	2.8379208374605427	0.7554499993403967	2.433557790627408	23.9393955183987	0.029975710908369257	2.5298484994585575	2.006213488748265	0.29469714701139405	0.43772773629969697	2.0234061718823324	50.0	313.97968689725116	30.259792622451453	0.002289330326307028	20.583998002942376
26	2e-07	1.3617434971924056	493.6856520294108	7.85760874550414	0.9680349911587228	3.038027274313934	4.200236963140054	2.749686099285718	0.8569567921552521	2.4116646086977243	23.84310396775205	0.03284634322911433	2.5039995198470923	2.0081299023037182	0.2742406886456529	0.44288815514964125	1.9929562238788954	50.0	326.17942142361767	30.346495432144717	0.002297729107594847	22.97848629898901
27	2e-07	1.3334786119422657	497.94301225141135	9.713857555677018	0.9460455458245602	3.0475802903802958	4.147379567254557	2.874465899164617	0.8194343762216699	2.3794086892486956	23.87261357988318	0.031511166332101256	2.3018304610384948	1.7979689890093886	0.28262802128714576	0.44348762961055366	1.9575056528280577	50.0	322.6381200568919	30.329316528917122	0.002294854294664309	20.55212759899603
28	2e-07	1.27828853434577	499.84258836054954	14.167254093822669	0.9873587878055338	3.0957036862095118	4.005621702214166	2.8407227429527984	0.8484026366296352	2.3469237460142103	24.029368755895458	0.028144482067448687	2.3424488586502665	1.9969208305655939	0.2792503255636862	0.43930291178484127	1.9465559965532886	50.0	315.35851907215016	30.261276643028335	0.0022163194078840204	18.6979552469626
29	2e-07	1.529360794041987	493.7186662178358	12.089488023163817	0.9946865449505105	3.0433576024308397	4.153657144062139	2.7783250093734972	0.8998923093290653	2.4188616505167513	24.143465686674507	0.024560627030215415	2.4757166375072015	1.6547285721287572	0.2917081771349576	0.4257756808391205	1.8944241179233523	50.0	335.46137958484195	30.54761796676636	0.0022800265951043257	21.86593802737971
30	2e-07	1.281739339095415	497.2965490212145	11.757908889621081	1.0208145497571457	3.043285306593851	3.972449184489383	2.8403300371468587	0.8839431587191642	2.322130928513472	24.127863854521646	0.027352875919883893	2.440887707558315	1.843506719253959	0.2897373742259724	0.44611902332723374	2.0622434978455324	50.0	323.0369316539093	30.277810872036653	0.0023021020885249876	19.918035375730103
