# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH2	CG	PCN	Chol	BW	SLD
5.024630775008951	0.024523967469224167	0.9733464251157022	0.0015154298523163915	2.3957619602975926e-05	1.637872506148278e-05	0.0005738411779375017	-1.4675262484625383e-06
5.12512339050913	0.02143008226766864	0.9761500732893243	0.0017405872267564108	2.7870804498331237e-05	1.8914135528624417e-05	0.0006324722247200786	-1.4557870866898692e-06
5.22561600600931	0.01867657364494131	0.9785780089298092	0.001995636756619837	3.238172637141819e-05	2.1817522110247426e-05	0.0006955813535945981	-1.4449983432741168e-06
5.326108621509489	0.016233450110283536	0.9806565282525052	0.0022839834091485265	3.757466749129547e-05	2.513835628283305e-05	0.0007633251179683072	-1.4350391629435655e-06
5.426601237009668	0.014072288047076682	0.9824100540735726	0.00260933682601401	4.354466434825056e-05	2.8932159708594972e-05	0.0008358441171574882	-1.4257920533014616e-06
5.5270938525098465	0.012166309524684879	0.9838610427741745	0.0029757270342338086	5.0398707881641014e-05	3.326115718851709e-05	0.0009132606561769682	-1.4171430409896574e-06
5.627586468010025	0.01049042941132584	0.9850299224221578	0.003387519358295611	5.825705290137204e-05	3.819498816852812e-05	0.0009956765780365126	-1.4089817282083853e-06
5.728079083510205	0.009021275168403875	0.9859350588540641	0.0038494282495295756	6.72546432307666e-05	4.3811480491701356e-05	0.0010831713590021888	-1.4012012622683563e-06
5.828571699010384	0.0077371827274656125	0.9865927465141006	0.004366529723066043	7.75426590161787e-05	5.019749011970536e-05	0.0011758005685211137	-1.393698231052633e-06
5.929064314510563	0.006618171801490171	0.9870172209099106	0.00494427206811602	8.929019248247316e-05	5.744981054578828e-05	0.0012735948065106064	-1.3863724972280895e-06
6.029556930010742	0.0056459038732693265	0.987220689666658	0.0055884844743887005	0.00010268605815238044	6.56761555847041e-05	0.0013765592412138571	-1.3791269838026444e-06
6.1300495455109205	0.0048036259458420225	0.9872133793301309	0.006305383196835518	0.00011794074318024494	7.499621914728799e-05	0.0014846738804939702	-1.371867423207468e-06
6.2305421610111	0.0040761029437073205	0.9870035952755596	0.007101574863246273	0.00013528850296503622	8.554281548372162e-05	0.0015978947179564808	-1.3645020815244979e-06
